id_jogo,data_hora,fase,grupo,time_casa,time_fora,placar_real_casa,placar_real_fora,status_jogo,eh_jogo_do_brasil
35,2026-06-20 19:00,Grupos,F,Netherlands,Sweden,1.0,1.0,finalizado,False
36,2026-06-20 22:00,Grupos,F,Tunisia,Japan,4.0,5.0,finalizado,False
37,2026-06-21 13:00,Grupos,H,Uruguay,Cabo Verde,2.0,2.0,finalizado,False
38,2026-06-21 16:00,Grupos,H,Spain,Saudi Arabia,2.0,1.0,finalizado,False
39,2026-06-21 19:00,Grupos,G,Belgium,IR Iran,3.0,2.0,finalizado,False
40,2026-06-21 22:00,Grupos,G,New Zealand,Egypt,1.0,3.0,finalizado,False
41,2026-06-22 13:00,Grupos,I,Norway,Senegal,1.0,1.0,finalizado,False
42,2026-06-22 16:00,Grupos,I,France,Iraq,1.0,0.0,finalizado,False
43,2026-06-22 19:00,Grupos,J,Argentina,Austria,2.0,2.0,finalizado,False
44,2026-06-22 22:00,Grupos,J,Jordan,Algeria,1.0,2.0,finalizado,False
45,2026-06-23 13:00,Grupos,L,England,Ghana,2.0,4.0,finalizado,False
46,2026-06-23 16:00,Grupos,L,Panama,Croatia,1.0,2.0,finalizado,False
47,2026-06-23 19:00,Grupos,K,Portugal,Uzbekistan,2.0,3.0,finalizado,False
48,2026-06-23 22:00,Grupos,K,Colombia,Congo DR,3.0,2.0,finalizado,False
49,2026-06-24 13:00,Grupos,C,Scotland,Brazil,4.0,3.0,finalizado,True
50,2026-06-24 13:00,Grupos,C,Marrocos,Haiti,1.0,4.0,finalizado,False
51,2026-06-24 16:00,Grupos,B,Switzerland,Canada,0.0,2.0,finalizado,False
52,2026-06-24 16:00,Grupos,B,Bosnia and Herzegovina,Qatar,3.0,2.0,finalizado,False
53,2026-06-24 19:00,Grupos,A,Czechia,Mexico,1.0,4.0,finalizado,False
54,2026-06-24 19:00,Grupos,A,South Africa,Korea Republic,4.0,3.0,finalizado,False
55,2026-06-25 13:00,Grupos,E,Curacao,Cote d'Ivoire,1.0,0.0,finalizado,False
56,2026-06-25 13:00,Grupos,E,Ecuador,Germany,1.0,2.0,finalizado,False
57,2026-06-25 16:00,Grupos,F,Japan,Sweden,0.0,3.0,finalizado,False
58,2026-06-25 16:00,Grupos,F,Tunisia,Netherlands,1.0,1.0,finalizado,False
59,2026-06-25 19:00,Grupos,D,Turkiye,USA,0.0,0.0,finalizado,False
60,2026-06-25 19:00,Grupos,D,Paraguay,Australia,2.0,4.0,finalizado,False
61,2026-06-26 13:00,Grupos,I,Norway,France,0.0,3.0,finalizado,False
62,2026-06-26 13:00,Grupos,I,Senegal,Iraq,1.0,2.0,finalizado,False
63,2026-06-26 16:00,Grupos,G,Egypt,IR Iran,3.0,4.0,finalizado,False
64,2026-06-26 16:00,Grupos,G,New Zealand,Belgium,2.0,2.0,finalizado,False
65,2026-06-26 19:00,Grupos,H,Cabo Verde,Saudi Arabia,0.0,1.0,finalizado,False
66,2026-06-26 19:00,Grupos,H,Uruguay,Spain,2.0,3.0,finalizado,False
67,2026-06-27 13:00,Grupos,L,Panama,England,4.0,2.0,finalizado,False
68,2026-06-27 13:00,Grupos,L,Croatia,Ghana,2.0,0.0,finalizado,False
69,2026-06-27 16:00,Grupos,J,Algeria,Austria,1.0,2.0,finalizado,False
70,2026-06-27 16:00,Grupos,J,Jordan,Argentina,4.0,3.0,finalizado,False
71,2026-06-27 19:00,Grupos,K,Colombia,Portugal,2.0,0.0,finalizado,False
72,2026-06-27 19:00,Grupos,K,Congo DR,Uzbekistan,2.0,4.0,finalizado,False
